User_ID,Cluster_ID,tsne_x,tsne_y,pca_x,pca_y,Banned_Categories,Allowed_Categories,Age,Age_Group,Gender,Religion,Mental_Condition,Physical_Condition
0000001,3,-24.37037,20.30277,-7.019368,33.408554,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",18,adolescents,male,Islam,healthy,healthy
0000002,2,21.02853,20.061934,-5.264868,5.001662,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Violence']",20,young adults,male,Christianity,depression,healthy
0000003,3,-24.393457,-6.786518,-15.361583,-1.504071,"['Self-Harm', 'Sexuality', 'Shocking']","['Harassment', 'Hate', 'Propaganda', 'Violence']",18,adolescents,male,None,anxiety,hearing impairment
0000004,2,21.875216,35.05987,31.309477,3.9805775,"['Propaganda', 'Sexuality']","['Harassment', 'Hate', 'Self-Harm', 'Shocking', 'Violence']",45,middle-aged,male,Islam,healthy,visual impairment
0000005,1,22.256176,-8.932407,27.137712,-15.781879,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']",72,young elderly,female,Buddhism,depression,visual impairment
0000006,3,-25.350973,-2.447951,-20.34975,2.4846783,"['Harassment', 'Propaganda', 'Sexuality']","['Hate', 'Self-Harm', 'Shocking', 'Violence']",18,adolescents,male,None,healthy,intellectual disability
0000007,4,-65.57643,-17.746136,-62.06249,-43.12353,"['Harassment', 'Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",[],2,infants & toddlers,male,None,healthy,intellectual disability
0000008,1,38.02009,-11.119854,21.65955,-31.147642,"['Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']","['Harassment', 'Hate']",96,long-lived elderly,male,Christianity,anxiety,hearing impairment
0000009,4,-56.858032,2.0208604,-51.33069,-2.9788518,"['Hate', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking', 'Violence']",['Harassment'],8,children,female,Christianity,healthy,visual impairment
0000010,3,-20.472006,20.27384,-20.782738,30.644392,"['Harassment', 'Propaganda', 'Self-Harm', 'Sexuality', 'Shocking']","['Hate', 'Violence']",15,adolescents,male,Islam,anxiety,intellectual disability
