non inappropriate,0,0.91,0004680.jpg
non inappropriate,0,0.92,0001815.jpg
non inappropriate,0,0.60,0004129.jpg
non inappropriate,0,0.85,0003680.jpg
inappropriate,1,0.53,0002193.jpg
non inappropriate,0,0.74,0000745.jpg
non inappropriate,0,0.85,0000027.jpg
non inappropriate,0,0.70,0000066.jpg
non inappropriate,0,0.50,0000860.jpg
inappropriate,1,0.65,0000390.jpg
inappropriate,1,0.89,0001592.jpg
inappropriate,1,0.60,0000642.jpg
non inappropriate,0,0.80,0004144.jpg
non inappropriate,0,0.58,0001910.jpg
non inappropriate,0,0.92,0000342.jpg
non inappropriate,0,0.70,0000453.jpg
inappropriate,1,0.96,0000457.jpg
non inappropriate,0,0.96,0000981.jpg
non inappropriate,0,0.99,0004530.jpg
non inappropriate,0,0.80,0001788.jpg
non inappropriate,0,0.52,0004607.jpg
inappropriate,1,0.88,0003371.jpg
non inappropriate,0,0.98,0003225.jpg
non inappropriate,0,0.97,0001884.jpg
inappropriate,1,0.82,0003013.jpg
non inappropriate,0,0.54,0004021.jpg
non inappropriate,0,0.61,0002940.jpg
non inappropriate,0,0.70,0003480.jpg
non inappropriate,0,0.88,0004587.jpg
non inappropriate,0,0.58,0002764.jpg
inappropriate,1,0.73,0002329.jpg
non inappropriate,0,0.97,0002126.jpg
inappropriate,1,0.65,0000097.jpg
non inappropriate,0,0.81,0003646.jpg
non inappropriate,0,0.99,0003419.jpg
inappropriate,1,0.94,0004141.jpg
non inappropriate,0,0.69,0003375.jpg
non inappropriate,0,0.99,0002951.jpg
inappropriate,1,0.62,0003317.jpg
non inappropriate,0,0.93,0001957.jpg
inappropriate,1,0.51,0000320.jpg
non inappropriate,0,0.89,0004593.jpg
non inappropriate,0,0.68,0002754.jpg
inappropriate,1,0.82,0000333.jpg
non inappropriate,0,0.52,0000284.jpg
non inappropriate,0,0.88,0003894.jpg
inappropriate,1,0.59,0001340.jpg
inappropriate,1,0.79,0002886.jpg
non inappropriate,0,0.93,0003148.jpg
inappropriate,1,0.89,0004578.jpg
non inappropriate,0,0.95,0001436.jpg
inappropriate,1,0.58,0001798.jpg
inappropriate,1,0.98,0004178.jpg
non inappropriate,0,0.55,0003518.jpg
non inappropriate,0,0.77,0004341.jpg
non inappropriate,0,1.00,0002991.jpg
non inappropriate,0,0.74,0003912.jpg
non inappropriate,0,0.97,0002010.jpg
non inappropriate,0,0.86,0002686.jpg
non inappropriate,0,0.92,0002756.jpg
inappropriate,1,0.85,0003003.jpg
non inappropriate,0,0.95,0003429.jpg
non inappropriate,0,0.76,0002528.jpg
inappropriate,1,0.59,0001679.jpg
non inappropriate,0,0.96,0001825.jpg
non inappropriate,0,0.58,0000018.jpg
inappropriate,1,0.88,0001445.jpg
non inappropriate,0,0.71,0001394.jpg
non inappropriate,0,0.96,0002513.jpg
non inappropriate,0,0.92,0002640.jpg
non inappropriate,0,0.95,0003649.jpg
inappropriate,1,0.55,0001440.jpg
non inappropriate,0,0.97,0000410.jpg
non inappropriate,0,0.97,0002089.jpg
inappropriate,1,0.94,0002553.jpg
inappropriate,1,0.65,0002173.jpg
inappropriate,1,0.60,0004678.jpg
non inappropriate,0,0.77,0000338.jpg
non inappropriate,0,0.95,0000478.jpg
non inappropriate,0,0.93,0002817.jpg
non inappropriate,0,0.88,0001978.jpg
non inappropriate,0,0.98,0002069.jpg
inappropriate,1,0.87,0002744.jpg
non inappropriate,0,0.99,0002318.jpg
inappropriate,1,0.90,0000466.jpg
non inappropriate,0,0.95,0003226.jpg
non inappropriate,0,0.52,0003553.jpg
inappropriate,1,0.58,0002474.jpg
non inappropriate,0,0.63,0000177.jpg
non inappropriate,0,0.69,0001914.jpg
non inappropriate,0,0.65,0004380.jpg
inappropriate,1,0.98,0004671.jpg
non inappropriate,0,0.89,0001135.jpg
non inappropriate,0,0.98,0001938.jpg
inappropriate,1,0.69,0002079.jpg
inappropriate,1,0.56,0000493.jpg
inappropriate,1,0.83,0004139.jpg
non inappropriate,0,0.75,0001644.jpg
non inappropriate,0,0.89,0001113.jpg
inappropriate,1,0.59,0002607.jpg
non inappropriate,0,0.86,0000075.jpg
non inappropriate,0,0.97,0001730.jpg
non inappropriate,0,0.97,0000520.jpg
inappropriate,1,0.63,0002593.jpg
inappropriate,1,0.99,0004619.jpg
non inappropriate,0,0.78,0003926.jpg
non inappropriate,0,0.96,0000022.jpg
inappropriate,1,0.86,0002202.jpg
non inappropriate,0,0.91,0001601.jpg
non inappropriate,0,0.61,0002039.jpg
non inappropriate,0,0.96,0001846.jpg
non inappropriate,0,0.56,0004634.jpg
inappropriate,1,0.53,0002244.jpg
non inappropriate,0,0.96,0002675.jpg
inappropriate,1,0.98,0000848.jpg
inappropriate,1,0.74,0003438.jpg
non inappropriate,0,0.64,0000708.jpg
non inappropriate,0,0.82,0002741.jpg
non inappropriate,0,0.85,0003608.jpg
inappropriate,1,0.72,0004029.jpg
inappropriate,1,0.98,0000906.jpg
non inappropriate,0,0.89,0000166.jpg
non inappropriate,0,0.57,0001612.jpg
non inappropriate,0,0.98,0002177.jpg
inappropriate,1,0.88,0004018.jpg
non inappropriate,0,0.81,0002496.jpg
non inappropriate,0,0.92,0004459.jpg
non inappropriate,0,0.67,0000479.jpg
non inappropriate,0,0.96,0003220.jpg
non inappropriate,0,0.79,0000033.jpg
inappropriate,1,0.87,0001810.jpg
non inappropriate,0,0.97,0004452.jpg
non inappropriate,0,0.80,0003059.jpg
inappropriate,1,0.66,0002797.jpg
inappropriate,1,0.68,0000488.jpg
non inappropriate,0,0.82,0001345.jpg
non inappropriate,0,0.62,0004681.jpg
non inappropriate,0,0.99,0001134.jpg
non inappropriate,0,0.97,0001643.jpg
non inappropriate,0,0.74,0003725.jpg
inappropriate,1,0.73,0000788.jpg
non inappropriate,0,0.94,0003289.jpg
inappropriate,1,0.99,0004372.jpg
non inappropriate,0,0.99,0003186.jpg
inappropriate,1,0.52,0000365.jpg
non inappropriate,0,0.99,0001158.jpg
inappropriate,1,0.91,0001506.jpg
non inappropriate,0,0.56,0002452.jpg
non inappropriate,0,0.94,0002265.jpg
inappropriate,1,0.58,0000359.jpg
non inappropriate,0,0.80,0003165.jpg
non inappropriate,0,0.82,0000725.jpg
non inappropriate,0,0.50,0003763.jpg
non inappropriate,0,0.55,0001462.jpg
inappropriate,1,0.92,0000639.jpg
non inappropriate,0,0.86,0001885.jpg
inappropriate,1,0.59,0001637.jpg
inappropriate,1,0.95,0002641.jpg
inappropriate,1,0.74,0000496.jpg
inappropriate,1,0.99,0000789.jpg
inappropriate,1,0.99,0001446.jpg
non inappropriate,0,0.99,0002484.jpg
inappropriate,1,0.91,0000993.jpg
non inappropriate,0,0.95,0003809.jpg
non inappropriate,0,0.60,0002848.jpg
non inappropriate,0,0.94,0002678.jpg
non inappropriate,0,0.68,0003960.jpg
non inappropriate,0,0.63,0002774.jpg
non inappropriate,0,0.85,0001204.jpg
inappropriate,1,0.96,0000233.jpg
inappropriate,1,0.61,0004699.jpg
non inappropriate,0,0.99,0001666.jpg
non inappropriate,0,0.63,0003811.jpg
non inappropriate,0,0.89,0003807.jpg
non inappropriate,0,0.92,0001867.jpg
inappropriate,1,0.62,0004638.jpg
non inappropriate,0,0.97,0004262.jpg
inappropriate,1,0.94,0000967.jpg
non inappropriate,0,0.98,0000349.jpg
non inappropriate,0,0.96,0000622.jpg
non inappropriate,0,0.91,0002136.jpg
inappropriate,1,0.98,0000305.jpg
non inappropriate,0,0.76,0004660.jpg
inappropriate,1,0.52,0002418.jpg
non inappropriate,0,0.61,0002305.jpg
inappropriate,1,0.64,0004217.jpg
inappropriate,1,0.87,0000426.jpg
inappropriate,1,0.64,0004321.jpg
non inappropriate,0,0.96,0003962.jpg
inappropriate,1,0.83,0000421.jpg
non inappropriate,0,0.90,0003401.jpg
inappropriate,1,0.80,0004385.jpg
non inappropriate,0,0.75,0000430.jpg
inappropriate,1,0.58,0001473.jpg
inappropriate,1,0.79,0000765.jpg
inappropriate,1,0.96,0001461.jpg
non inappropriate,0,0.87,0001561.jpg
non inappropriate,0,0.78,0001289.jpg
non inappropriate,0,0.70,0004138.jpg
inappropriate,1,0.77,0002382.jpg
non inappropriate,0,0.98,0004423.jpg
inappropriate,1,0.97,0000318.jpg
non inappropriate,0,0.99,0001573.jpg
inappropriate,1,0.59,0001673.jpg
inappropriate,1,0.85,0002746.jpg
non inappropriate,0,0.95,0001756.jpg
non inappropriate,0,0.97,0002000.jpg
non inappropriate,0,0.94,0004354.jpg
non inappropriate,0,0.94,0002246.jpg
non inappropriate,0,1.00,0001667.jpg
non inappropriate,0,0.55,0000030.jpg
inappropriate,1,0.72,0002824.jpg
inappropriate,1,0.75,0001576.jpg
inappropriate,1,0.73,0000451.jpg
non inappropriate,0,0.80,0003965.jpg
non inappropriate,0,0.58,0000672.jpg
inappropriate,1,0.84,0003800.jpg
inappropriate,1,0.80,0000069.jpg
inappropriate,1,0.84,0001719.jpg
inappropriate,1,0.69,0000346.jpg
non inappropriate,0,0.75,0004203.jpg
non inappropriate,0,0.55,0001549.jpg
inappropriate,1,0.60,0004331.jpg
non inappropriate,0,0.97,0002436.jpg
non inappropriate,0,0.80,0004502.jpg
inappropriate,1,0.89,0001472.jpg
non inappropriate,0,0.98,0002712.jpg
inappropriate,1,0.74,0000161.jpg
inappropriate,1,0.77,0002141.jpg
non inappropriate,0,0.96,0002832.jpg
non inappropriate,0,0.88,0002104.jpg
non inappropriate,0,0.96,0002506.jpg
non inappropriate,0,0.66,0002884.jpg
non inappropriate,0,0.88,0001816.jpg
inappropriate,1,0.83,0004702.jpg
inappropriate,1,0.57,0000246.jpg
non inappropriate,0,0.96,0004567.jpg
non inappropriate,0,0.66,0001047.jpg
non inappropriate,0,0.97,0002406.jpg
non inappropriate,0,0.99,0000598.jpg
non inappropriate,0,0.84,0000212.jpg
non inappropriate,0,0.86,0002317.jpg
non inappropriate,0,0.87,0000556.jpg
non inappropriate,0,0.77,0001886.jpg
non inappropriate,0,0.99,0003792.jpg
non inappropriate,0,0.91,0004174.jpg
non inappropriate,0,0.93,0003984.jpg
non inappropriate,0,0.94,0000061.jpg
inappropriate,1,0.74,0000655.jpg
inappropriate,1,0.62,0001200.jpg
inappropriate,1,0.83,0000298.jpg
inappropriate,1,0.74,0003472.jpg
non inappropriate,0,0.88,0000938.jpg
non inappropriate,0,0.57,0000214.jpg
non inappropriate,0,0.53,0000223.jpg
inappropriate,1,0.95,0001022.jpg
non inappropriate,0,0.92,0003055.jpg
non inappropriate,0,0.52,0002071.jpg
inappropriate,1,0.65,0003364.jpg
inappropriate,1,0.53,0002412.jpg
inappropriate,1,0.65,0002162.jpg
non inappropriate,0,0.84,0001180.jpg
non inappropriate,0,0.98,0003983.jpg
inappropriate,1,0.89,0000473.jpg
non inappropriate,0,0.54,0003942.jpg
non inappropriate,0,0.57,0000904.jpg
non inappropriate,0,0.75,0003637.jpg
non inappropriate,0,0.96,0004275.jpg
non inappropriate,0,0.86,0000028.jpg
non inappropriate,0,0.65,0000291.jpg
non inappropriate,0,0.99,0001425.jpg
non inappropriate,0,0.95,0003693.jpg
non inappropriate,0,0.88,0001250.jpg
non inappropriate,0,0.99,0003085.jpg
inappropriate,1,0.76,0002395.jpg
non inappropriate,0,0.87,0001127.jpg
non inappropriate,0,0.97,0000414.jpg
inappropriate,1,0.64,0002881.jpg
non inappropriate,0,0.97,0001057.jpg
non inappropriate,0,0.88,0000019.jpg
inappropriate,1,0.53,0002440.jpg
inappropriate,1,0.62,0001397.jpg
non inappropriate,0,0.95,0001892.jpg
non inappropriate,0,0.91,0001406.jpg
non inappropriate,0,0.51,0000409.jpg
non inappropriate,0,0.97,0004503.jpg
non inappropriate,0,0.64,0004324.jpg
non inappropriate,0,0.93,0000645.jpg
non inappropriate,0,0.71,0003628.jpg
non inappropriate,0,0.89,0001075.jpg
non inappropriate,0,0.79,0001320.jpg
non inappropriate,0,0.87,0001915.jpg
inappropriate,1,0.99,0003592.jpg
inappropriate,1,0.91,0000940.jpg
inappropriate,1,0.96,0002209.jpg
non inappropriate,0,0.96,0001624.jpg
non inappropriate,0,0.93,0004644.jpg
non inappropriate,0,0.69,0004632.jpg
non inappropriate,0,0.99,0001542.jpg
non inappropriate,0,0.95,0003839.jpg
non inappropriate,0,0.88,0002493.jpg
non inappropriate,0,0.67,0000767.jpg
non inappropriate,0,0.97,0004554.jpg
non inappropriate,0,0.75,0000048.jpg
non inappropriate,0,1.00,0000713.jpg
non inappropriate,0,0.86,0002601.jpg
inappropriate,1,0.75,0000959.jpg
non inappropriate,0,0.64,0001337.jpg
non inappropriate,0,0.93,0001754.jpg
non inappropriate,0,0.79,0000100.jpg
non inappropriate,0,0.99,0004648.jpg
non inappropriate,0,0.81,0003857.jpg
non inappropriate,0,0.53,0000296.jpg
non inappropriate,0,1.00,0003102.jpg
non inappropriate,0,0.91,0000688.jpg
inappropriate,1,0.84,0000010.jpg
inappropriate,1,0.58,0002937.jpg
non inappropriate,0,0.95,0004614.jpg
inappropriate,1,0.59,0000569.jpg
inappropriate,1,0.52,0001379.jpg
non inappropriate,0,0.91,0002957.jpg
inappropriate,1,0.54,0002998.jpg
inappropriate,1,0.84,0002619.jpg
non inappropriate,0,0.97,0003506.jpg
non inappropriate,0,0.96,0003141.jpg
inappropriate,1,0.67,0001196.jpg
non inappropriate,0,0.88,0002248.jpg
non inappropriate,0,0.99,0000498.jpg
non inappropriate,0,0.76,0002247.jpg
non inappropriate,0,0.93,0002377.jpg
non inappropriate,0,0.88,0001202.jpg
non inappropriate,0,0.96,0001683.jpg
non inappropriate,0,0.89,0002367.jpg
non inappropriate,0,0.52,0003058.jpg
inappropriate,1,0.96,0001894.jpg
inappropriate,1,0.81,0002802.jpg
inappropriate,1,0.56,0000946.jpg
inappropriate,1,0.82,0000431.jpg
non inappropriate,0,1.00,0002108.jpg
non inappropriate,0,0.74,0003287.jpg
non inappropriate,0,0.94,0004208.jpg
inappropriate,1,0.77,0003582.jpg
inappropriate,1,0.74,0004516.jpg
inappropriate,1,0.96,0001007.jpg
inappropriate,1,0.56,0000815.jpg
inappropriate,1,0.60,0003012.jpg
non inappropriate,0,0.99,0003042.jpg
non inappropriate,0,0.97,0003192.jpg
non inappropriate,0,0.98,0004550.jpg
