inappropriate,1,0.77,0004680.jpg
non inappropriate,0,0.54,0001815.jpg
inappropriate,1,0.83,0004129.jpg
non inappropriate,0,0.51,0003680.jpg
non inappropriate,0,0.92,0002193.jpg
inappropriate,1,0.87,0000745.jpg
inappropriate,1,0.65,0000027.jpg
non inappropriate,0,0.83,0000066.jpg
non inappropriate,0,0.96,0000860.jpg
non inappropriate,0,0.75,0000390.jpg
inappropriate,1,0.69,0001592.jpg
inappropriate,1,0.98,0000642.jpg
non inappropriate,0,0.95,0004144.jpg
inappropriate,1,0.67,0001910.jpg
inappropriate,1,0.87,0000342.jpg
non inappropriate,0,0.55,0000453.jpg
inappropriate,1,0.69,0000457.jpg
inappropriate,1,0.96,0000981.jpg
non inappropriate,0,0.99,0004530.jpg
inappropriate,1,0.74,0001788.jpg
non inappropriate,0,0.89,0004607.jpg
inappropriate,1,0.56,0003371.jpg
non inappropriate,0,0.96,0003225.jpg
non inappropriate,0,0.96,0001884.jpg
non inappropriate,0,0.81,0003013.jpg
non inappropriate,0,0.78,0004021.jpg
non inappropriate,0,0.71,0002940.jpg
non inappropriate,0,0.75,0003480.jpg
non inappropriate,0,0.98,0004587.jpg
non inappropriate,0,0.99,0002764.jpg
non inappropriate,0,0.76,0002329.jpg
non inappropriate,0,0.91,0002126.jpg
inappropriate,1,0.70,0000097.jpg
non inappropriate,0,0.57,0003646.jpg
non inappropriate,0,0.97,0003419.jpg
inappropriate,1,0.93,0004141.jpg
inappropriate,1,0.85,0003375.jpg
non inappropriate,0,0.94,0002951.jpg
inappropriate,1,0.74,0003317.jpg
non inappropriate,0,0.94,0001957.jpg
inappropriate,1,0.94,0000320.jpg
non inappropriate,0,0.73,0004593.jpg
inappropriate,1,0.87,0002754.jpg
non inappropriate,0,0.67,0000333.jpg
inappropriate,1,0.98,0000284.jpg
non inappropriate,0,1.00,0003894.jpg
non inappropriate,0,0.56,0001340.jpg
inappropriate,1,0.61,0002886.jpg
non inappropriate,0,0.97,0003148.jpg
inappropriate,1,1.00,0004578.jpg
non inappropriate,0,0.60,0001436.jpg
inappropriate,1,0.75,0001798.jpg
non inappropriate,0,0.51,0004178.jpg
inappropriate,1,0.76,0003518.jpg
inappropriate,1,0.98,0004341.jpg
inappropriate,1,0.80,0002991.jpg
non inappropriate,0,0.95,0003912.jpg
non inappropriate,0,0.94,0002010.jpg
non inappropriate,0,0.93,0002686.jpg
non inappropriate,0,0.98,0002756.jpg
non inappropriate,0,0.56,0003003.jpg
non inappropriate,0,1.00,0003429.jpg
non inappropriate,0,0.92,0002528.jpg
inappropriate,1,0.52,0001679.jpg
non inappropriate,0,0.93,0001825.jpg
non inappropriate,0,0.66,0000018.jpg
inappropriate,1,0.57,0001445.jpg
inappropriate,1,0.60,0001394.jpg
non inappropriate,0,0.96,0002513.jpg
non inappropriate,0,0.58,0002640.jpg
non inappropriate,0,0.90,0003649.jpg
inappropriate,1,0.59,0001440.jpg
non inappropriate,0,0.89,0000410.jpg
non inappropriate,0,0.98,0002089.jpg
inappropriate,1,0.67,0002553.jpg
non inappropriate,0,0.83,0002173.jpg
non inappropriate,0,0.57,0004678.jpg
inappropriate,1,0.97,0000338.jpg
non inappropriate,0,0.85,0000478.jpg
inappropriate,1,0.74,0002817.jpg
non inappropriate,0,0.73,0001978.jpg
non inappropriate,0,0.82,0002069.jpg
non inappropriate,0,0.81,0002744.jpg
non inappropriate,0,1.00,0002318.jpg
inappropriate,1,0.57,0000466.jpg
non inappropriate,0,0.87,0003226.jpg
non inappropriate,0,0.68,0003553.jpg
non inappropriate,0,0.84,0002474.jpg
inappropriate,1,0.83,0000177.jpg
non inappropriate,0,0.68,0001914.jpg
inappropriate,1,0.65,0004380.jpg
inappropriate,1,0.97,0004671.jpg
non inappropriate,0,0.71,0001135.jpg
non inappropriate,0,0.92,0001938.jpg
non inappropriate,0,0.93,0002079.jpg
non inappropriate,0,0.59,0000493.jpg
non inappropriate,0,0.86,0004139.jpg
inappropriate,1,0.83,0001644.jpg
non inappropriate,0,0.65,0001113.jpg
inappropriate,1,0.52,0002607.jpg
non inappropriate,0,0.91,0000075.jpg
non inappropriate,0,0.93,0001730.jpg
inappropriate,1,0.81,0000520.jpg
inappropriate,1,0.89,0002593.jpg
inappropriate,1,0.90,0004619.jpg
non inappropriate,0,0.95,0003926.jpg
non inappropriate,0,0.73,0000022.jpg
inappropriate,1,0.98,0002202.jpg
non inappropriate,0,0.98,0001601.jpg
inappropriate,1,0.95,0002039.jpg
non inappropriate,0,0.61,0001846.jpg
inappropriate,1,0.90,0004634.jpg
non inappropriate,0,0.69,0002244.jpg
non inappropriate,0,0.76,0002675.jpg
inappropriate,1,0.99,0000848.jpg
non inappropriate,0,0.91,0003438.jpg
non inappropriate,0,0.93,0000708.jpg
non inappropriate,0,0.86,0002741.jpg
non inappropriate,0,0.86,0003608.jpg
inappropriate,1,0.76,0004029.jpg
inappropriate,1,0.98,0000906.jpg
inappropriate,1,0.52,0000166.jpg
non inappropriate,0,0.76,0001612.jpg
non inappropriate,0,0.64,0002177.jpg
inappropriate,1,0.99,0004018.jpg
inappropriate,1,0.86,0002496.jpg
non inappropriate,0,0.56,0004459.jpg
inappropriate,1,0.66,0000479.jpg
non inappropriate,0,0.91,0003220.jpg
non inappropriate,0,0.88,0000033.jpg
inappropriate,1,0.99,0001810.jpg
non inappropriate,0,0.60,0004452.jpg
non inappropriate,0,0.92,0003059.jpg
non inappropriate,0,0.79,0002797.jpg
inappropriate,1,0.98,0000488.jpg
non inappropriate,0,0.96,0001345.jpg
inappropriate,1,0.94,0004681.jpg
non inappropriate,0,0.53,0001134.jpg
non inappropriate,0,0.77,0001643.jpg
non inappropriate,0,0.95,0003725.jpg
non inappropriate,0,0.70,0000788.jpg
non inappropriate,0,1.00,0003289.jpg
inappropriate,1,0.92,0004372.jpg
non inappropriate,0,0.90,0003186.jpg
non inappropriate,0,0.65,0000365.jpg
non inappropriate,0,0.97,0001158.jpg
inappropriate,1,0.65,0001506.jpg
non inappropriate,0,0.75,0002452.jpg
non inappropriate,0,0.68,0002265.jpg
non inappropriate,0,0.87,0000359.jpg
non inappropriate,0,0.97,0003165.jpg
non inappropriate,0,0.77,0000725.jpg
inappropriate,1,0.94,0003763.jpg
inappropriate,1,0.80,0001462.jpg
inappropriate,1,0.99,0000639.jpg
non inappropriate,0,0.67,0001885.jpg
inappropriate,1,0.97,0001637.jpg
non inappropriate,0,0.77,0002641.jpg
inappropriate,1,0.58,0000496.jpg
inappropriate,1,0.99,0000789.jpg
non inappropriate,0,0.93,0001446.jpg
inappropriate,1,0.55,0002484.jpg
inappropriate,1,0.69,0000993.jpg
non inappropriate,0,0.84,0003809.jpg
non inappropriate,0,0.51,0002848.jpg
non inappropriate,0,0.89,0002678.jpg
non inappropriate,0,0.97,0003960.jpg
non inappropriate,0,0.94,0002774.jpg
non inappropriate,0,0.64,0001204.jpg
inappropriate,1,0.97,0000233.jpg
inappropriate,1,0.77,0004699.jpg
non inappropriate,0,1.00,0001666.jpg
non inappropriate,0,1.00,0003811.jpg
inappropriate,1,0.59,0003807.jpg
non inappropriate,0,0.91,0001867.jpg
non inappropriate,0,0.58,0004638.jpg
inappropriate,1,0.70,0004262.jpg
inappropriate,1,0.93,0000967.jpg
inappropriate,1,0.80,0000349.jpg
non inappropriate,0,0.88,0000622.jpg
inappropriate,1,0.57,0002136.jpg
inappropriate,1,0.98,0000305.jpg
non inappropriate,0,0.74,0004660.jpg
inappropriate,1,0.75,0002418.jpg
non inappropriate,0,0.91,0002305.jpg
inappropriate,1,0.69,0004217.jpg
inappropriate,1,0.92,0000426.jpg
non inappropriate,0,0.54,0004321.jpg
non inappropriate,0,0.94,0003962.jpg
inappropriate,1,0.87,0000421.jpg
non inappropriate,0,0.68,0003401.jpg
inappropriate,1,0.70,0004385.jpg
non inappropriate,0,0.96,0000430.jpg
non inappropriate,0,0.85,0001473.jpg
inappropriate,1,0.97,0000765.jpg
inappropriate,1,1.00,0001461.jpg
inappropriate,1,0.99,0001561.jpg
inappropriate,1,0.97,0001289.jpg
non inappropriate,0,0.94,0004138.jpg
inappropriate,1,0.88,0002382.jpg
non inappropriate,0,0.73,0004423.jpg
inappropriate,1,0.87,0000318.jpg
non inappropriate,0,1.00,0001573.jpg
non inappropriate,0,0.72,0001673.jpg
inappropriate,1,0.81,0002746.jpg
non inappropriate,0,0.91,0001756.jpg
inappropriate,1,0.56,0002000.jpg
non inappropriate,0,0.98,0004354.jpg
non inappropriate,0,0.75,0002246.jpg
non inappropriate,0,0.87,0001667.jpg
non inappropriate,0,0.70,0000030.jpg
non inappropriate,0,0.67,0002824.jpg
inappropriate,1,0.54,0001576.jpg
inappropriate,1,0.98,0000451.jpg
non inappropriate,0,0.78,0003965.jpg
inappropriate,1,0.81,0000672.jpg
non inappropriate,0,0.66,0003800.jpg
inappropriate,1,0.97,0000069.jpg
inappropriate,1,0.87,0001719.jpg
inappropriate,1,0.95,0000346.jpg
non inappropriate,0,0.89,0004203.jpg
non inappropriate,0,0.56,0001549.jpg
non inappropriate,0,0.93,0004331.jpg
non inappropriate,0,0.96,0002436.jpg
inappropriate,1,0.63,0004502.jpg
inappropriate,1,0.77,0001472.jpg
inappropriate,1,0.96,0002712.jpg
non inappropriate,0,0.79,0000161.jpg
non inappropriate,0,0.79,0002141.jpg
inappropriate,1,0.97,0002832.jpg
inappropriate,1,0.67,0002104.jpg
inappropriate,1,0.60,0002506.jpg
non inappropriate,0,0.62,0002884.jpg
non inappropriate,0,0.91,0001816.jpg
inappropriate,1,0.97,0004702.jpg
non inappropriate,0,0.60,0000246.jpg
non inappropriate,0,0.89,0004567.jpg
non inappropriate,0,0.91,0001047.jpg
non inappropriate,0,0.73,0002406.jpg
inappropriate,1,0.94,0000598.jpg
non inappropriate,0,0.79,0000212.jpg
non inappropriate,0,0.73,0002317.jpg
inappropriate,1,0.63,0000556.jpg
inappropriate,1,0.50,0001886.jpg
non inappropriate,0,0.99,0003792.jpg
non inappropriate,0,0.98,0004174.jpg
non inappropriate,0,0.86,0003984.jpg
non inappropriate,0,0.87,0000061.jpg
inappropriate,1,0.86,0000655.jpg
inappropriate,1,0.62,0001200.jpg
inappropriate,1,0.96,0000298.jpg
inappropriate,1,0.73,0003472.jpg
inappropriate,1,0.88,0000938.jpg
inappropriate,1,0.96,0000214.jpg
inappropriate,1,0.75,0000223.jpg
inappropriate,1,0.94,0001022.jpg
non inappropriate,0,0.85,0003055.jpg
inappropriate,1,0.78,0002071.jpg
inappropriate,1,0.93,0003364.jpg
inappropriate,1,0.69,0002412.jpg
non inappropriate,0,0.88,0002162.jpg
inappropriate,1,0.52,0001180.jpg
non inappropriate,0,0.98,0003983.jpg
inappropriate,1,0.60,0000473.jpg
non inappropriate,0,0.75,0003942.jpg
non inappropriate,0,0.89,0000904.jpg
non inappropriate,0,0.76,0003637.jpg
non inappropriate,0,0.58,0004275.jpg
non inappropriate,0,0.66,0000028.jpg
inappropriate,1,0.96,0000291.jpg
non inappropriate,0,0.97,0001425.jpg
non inappropriate,0,0.68,0003693.jpg
non inappropriate,0,0.82,0001250.jpg
non inappropriate,0,0.97,0003085.jpg
inappropriate,1,0.51,0002395.jpg
non inappropriate,0,0.66,0001127.jpg
non inappropriate,0,0.91,0000414.jpg
inappropriate,1,0.75,0002881.jpg
non inappropriate,0,0.96,0001057.jpg
non inappropriate,0,0.74,0000019.jpg
non inappropriate,0,0.68,0002440.jpg
non inappropriate,0,0.99,0001397.jpg
