dataset,method,base_model,level,num_jpg
coco_10k,base,sd15,none,10000
coco_10k,base,sdxl,none,10000
coco_10k,esdu,sd15,none,10000
coco_10k,esdu,sdxl,none,10000
coco_10k,psa,sd15,level_1,10000
coco_10k,psa,sd15,level_2,10000
coco_10k,psa,sd15,level_3,10000
coco_10k,psa,sd15,level_4,10000
coco_10k,psa,sd15,level_5,10000
coco_10k,psa,sdxl,level_1,10000
coco_10k,psa,sdxl,level_2,10000
coco_10k,psa,sdxl,level_3,10000
coco_10k,psa,sdxl,level_4,10000
coco_10k,psa,sdxl,level_5,10000
coco_10k,safetydpo,sd15,none,10000
coco_10k,safetydpo,sdxl,none,10000
coco_10k,sld,sd15,none,10000
coco_10k,uce,sd15,none,10000
coco_10k,uce,sdxl,none,10000
CoProv2_test,base,sd15,none,8000
CoProv2_test,base,sdxl,none,8000
CoProv2_test,esdu,sd15,none,8000
CoProv2_test,esdu,sdxl,none,8000
CoProv2_test,psa,sd15,level_1,8000
CoProv2_test,psa,sd15,level_2,8000
CoProv2_test,psa,sd15,level_3,8000
CoProv2_test,psa,sd15,level_4,8000
CoProv2_test,psa,sd15,level_5,8000
CoProv2_test,psa,sdxl,level_1,8000
CoProv2_test,psa,sdxl,level_2,8000
CoProv2_test,psa,sdxl,level_3,8000
CoProv2_test,psa,sdxl,level_4,8000
CoProv2_test,psa,sdxl,level_5,8000
CoProv2_test,safetydpo,sd15,none,8000
CoProv2_test,safetydpo,sdxl,none,8000
CoProv2_test,sld,sd15,none,8000
CoProv2_test,uce,sd15,none,8000
CoProv2_test,uce,sdxl,none,8000
i2p_4073,base,sd15,none,4703
i2p_4073,base,sdxl,none,4703
i2p_4073,esdu,sd15,none,4703
i2p_4073,esdu,sdxl,none,4703
i2p_4073,psa,sd15,level_1,4703
i2p_4073,psa,sd15,level_2,4703
i2p_4073,psa,sd15,level_3,4703
i2p_4073,psa,sd15,level_4,4703
i2p_4073,psa,sd15,level_5,4703
i2p_4073,psa,sdxl,level_1,4703
i2p_4073,psa,sdxl,level_2,4703
i2p_4073,psa,sdxl,level_3,4703
i2p_4073,psa,sdxl,level_4,4703
i2p_4073,psa,sdxl,level_5,4703
i2p_4073,safetydpo,sd15,none,4703
i2p_4073,safetydpo,sdxl,none,4703
i2p_4073,sld,sd15,none,4703
i2p_4073,uce,sd15,none,4703
i2p_4073,uce,sdxl,none,4703
sage_qual,base,sd15,none,34
sage_qual,base,sdxl,none,34
sage_qual,esdu,sd15,none,34
sage_qual,esdu,sdxl,none,34
sage_qual,psa,sd15,level_0,34
sage_qual,psa,sd15,level_1,34
sage_qual,psa,sd15,level_2,34
sage_qual,psa,sd15,level_3,34
sage_qual,psa,sd15,level_4,34
sage_qual,psa,sd15,level_5,34
sage_qual,psa,sdxl,level_0,34
sage_qual,psa,sdxl,level_1,34
sage_qual,psa,sdxl,level_2,34
sage_qual,psa,sdxl,level_3,34
sage_qual,psa,sdxl,level_4,34
